,MATICUSDT,STXUSDT,Spread,ZScore
0,1.2283,0.29445,0.006332499999999852,
1,1.2342,0.29389,0.014556499999999861,
2,1.2355,0.29385,0.01602249999999983,
3,1.2308,0.29283,0.015555499999999833,
4,1.2168,0.28869,0.018736499999999934,
5,1.2362,0.29169,0.025686499999999945,
6,1.2357,0.29268,0.02107799999999993,
7,1.2404,0.29289,0.024906499999999943,
8,1.2479,0.29498,0.023732999999999782,
9,1.2264,0.28972,0.024062000000000028,
10,1.2314,0.29067,0.02511949999999996,
11,1.186,0.28508,0.002917999999999754,
12,1.1975,0.28611,0.010143500000000083,
13,1.1826,0.28298,0.008232999999999935,
14,1.1943,0.29607,-0.03439050000000021,
15,1.1852,0.29558,-0.04145700000000008,
16,1.1818,0.29759,-0.05319850000000015,
17,1.1835,0.30065,-0.06419749999999991,
18,1.186,0.30357,-0.07381550000000026,
19,1.1851,0.30139,-0.06566850000000013,
20,1.1799,0.29763,-0.05526450000000027,-1.3242634270134057
21,1.1784,0.295,-0.04585000000000017,-0.9748843296585016
22,1.1778,0.2953,-0.047695000000000265,-0.9333662372111065
23,1.1802,0.29665,-0.05089750000000026,-0.9267621415176065
24,1.1833,0.29674,-0.048171000000000186,-0.7763262817504579
25,1.1923,0.29978,-0.05178700000000025,-0.7910368009809
26,1.2056,0.30212,-0.048198000000000185,-0.6222019997941026
27,1.1865,0.29665,-0.04459750000000007,-0.4539914442990067
28,1.2208,0.29891,-0.019676500000000097,0.34787046545141903
29,1.2239,0.29965,-0.019647500000000262,0.4445735303596434
30,1.2298,0.29962,-0.013623000000000163,0.7691817542624912
31,1.2409,0.29871,0.0012534999999997964,1.4658984232961514
32,1.2323,0.29825,-0.005437500000000206,1.2466536460190762
33,1.2147,0.29626,-0.01477900000000032,0.9901180519999829
34,1.221,0.29702,-0.011633000000000004,1.2567110397869128
35,1.2237,0.29756,-0.011174000000000017,1.1818108541786847
36,1.2406,0.30085,-0.00792750000000031,1.2081138171647086
37,1.246,0.30245,-0.009167499999999995,1.0481455785606566
38,1.2372,0.30087,-0.011410500000000212,0.8676503637184207
39,1.2307,0.30137,-0.01998550000000021,0.41774973371271545
40,1.2317,0.29988,-0.01280199999999998,0.6960084907917308
41,1.2285,0.29895,-0.012142500000000167,0.6573925136997811
42,1.2297,0.29818,-0.00774700000000017,0.8171425705523222
43,1.2236,0.29748,-0.01094200000000023,0.5653512368925202
44,1.2283,0.29801,-0.008441500000000213,0.6443962809222746
45,1.2265,0.29914,-0.01493100000000025,0.14011473838638627
46,1.2205,0.30078,-0.027737000000000123,-1.012663649807476
47,1.2252,0.30241,-0.029801500000000036,-1.5192579572777316
48,1.2265,0.30327,-0.03207050000000011,-2.1773468725508778
49,1.2275,0.303,-0.029950000000000143,-1.7263574033741462
50,1.2291,0.30331,-0.029636500000000066,-1.5434031332405553
51,1.2492,0.30825,-0.03003750000000016,-1.4217502833569498
52,1.2479,0.30611,-0.0224565000000001,-0.5822953040066988
53,1.2511,0.30428,-0.011662000000000061,0.657340207988052
54,1.2587,0.30273,0.002370499999999831,1.9385303547706814
55,1.2793,0.30589,0.009856499999999935,2.243616809358601
56,1.2761,0.30495,0.010557499999999997,1.9809402103142666
57,1.2731,0.30487,0.007889499999999883,1.603226329295574
58,1.2723,0.30579,0.0032714999999998717,1.1769809131401463
59,1.2648,0.30493,-0.0006595000000000351,0.8441940982090488
60,1.2611,0.3066,-0.011290000000000022,0.07139674022403887
61,1.255,0.30503,-0.010874500000000342,0.09419500582556847
62,1.2449,0.29711,0.01189349999999978,1.5171225091381522
63,1.2507,0.29883,0.01055549999999994,1.3095947800431638
64,1.2465,0.29921,0.004778500000000019,0.8793933327555027
65,1.2458,0.301,-0.003349999999999964,0.36069470276063104
66,1.2536,0.30159,0.0020014999999997674,0.6359905768103676
67,1.248,0.30227,-0.00642049999999994,0.06112113243021534
68,1.2401,0.3054,-0.027310000000000167,-1.2873258701299437
69,1.2418,0.30562,-0.026523000000000074,-1.2868007412535247
70,1.2428,0.30481,-0.02216150000000039,-1.0588207806642733
71,1.2378,0.30497,-0.02782550000000028,-1.4645116732332126
72,1.2449,0.30732,-0.030478000000000227,-1.6415386315022165
73,1.2345,0.30896,-0.04768400000000028,-2.3744775893134245
74,1.2039,0.29388,-0.015702000000000105,-0.45876614082755995
75,1.2128,0.29716,-0.020413999999999932,-0.6722169050425122
76,1.2207,0.29844,-0.01782600000000012,-0.454040630609888
77,1.2093,0.29495,-0.014742500000000103,-0.20179098961381564
78,1.2018,0.29588,-0.02610200000000007,-0.8394771751700142
79,1.193,0.29074,-0.013571,0.02781279733303401
80,1.1931,0.29034,-0.011811000000000016,0.18512752501194343
81,1.2003,0.29049,-0.005233500000000335,0.6101296804486391
82,1.1939,0.29096,-0.01358400000000004,0.052540077701683854
83,1.1981,0.29171,-0.012496500000000355,0.22460394280948373
84,1.2081,0.297,-0.024450000000000083,-0.5967568630477171
