,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
472,NEOUSDT,1000BONKUSDT,0.03,-3.48,-3.37,8847.36,2
679,USDCUSDT,AGLDUSDT,0.04,-3.4,-3.37,2.32,2
420,MINAUSDT,AGLDUSDT,0.03,-3.59,-3.37,1.91,2
675,TRXUSDT,AGLDUSDT,0.04,-3.4,-3.37,0.15,2
653,RENUSDT,BNBUSDT,0.04,-3.4,-3.37,0.0,2
130,ANKRUSDT,SWEATUSDT,0.04,-3.46,-3.37,1.93,1
312,EOSUSDT,ROSEUSDT,0.04,-3.38,-3.37,18.05,1
244,EOSUSDT,BNXUSDT,0.01,-3.79,-3.37,0.01,1
629,QTUMUSDT,GRTUSDT,0.04,-3.39,-3.37,19.47,1
407,MATICUSDT,BNXUSDT,0.01,-3.78,-3.37,0.01,1
282,EOSUSDT,GRTUSDT,0.03,-3.48,-3.37,7.42,1
316,EOSUSDT,SCUSDT,0.04,-3.4,-3.37,266.8,1
